# 02805 shared playground — week 1 release (frozen snapshot, 2026-08-26)
# All 303 characters in Wikipedia's Category:Marvel Comics superheroes
# (redirects resolved). node_id matches week1_edges.tsv.
node_id	name	wikidata_id	url	description
Beta_Ray_Bill	Beta Ray Bill	Q1987662	https://en.wikipedia.org/wiki/Beta_Ray_Bill	Beta Ray Bill is a fictional character appearing in American comic books published by Marvel Comics.
Betsy_Braddock	Betsy Braddock	Q973050	https://en.wikipedia.org/wiki/Betsy_Braddock	Elizabeth "Betsy" Braddock is a character appearing in American comic books published by Marvel Comics, commonly in association with the X-Men.
Bill_Foster_(character)	Bill Foster (character)	Q2633611	https://en.wikipedia.org/wiki/Bill_Foster_(character)	Dr. William "Bill" Foster, also known as Black Goliath, Giant-Man and Goliath, is a superhero appearing in American comic books published by Marvel Comics.
Bird-Brain_(Marvel_Comics)	Bird-Brain (Marvel Comics)	Q4915814	https://en.wikipedia.org/wiki/Bird-Brain_(Marvel_Comics)	Bird-Brain is a character appearing in American comic books published by Marvel Comics, primarily in association with the New Mutants.
Black_Bolt	Black Bolt	Q767453	https://en.wikipedia.org/wiki/Black_Bolt	Black Bolt (Blackagar Boltagon) is a fictional character appearing in American comic books published by Marvel Comics.
Black_Cat_(Marvel_Comics)	Black Cat (Marvel Comics)	Q912640	https://en.wikipedia.org/wiki/Black_Cat_(Marvel_Comics)	Black Cat is a character appearing in American comic books published by Marvel Comics.
Black_Fox_(Robert_Paine)	Black Fox (Robert Paine)	Q55605555	https://en.wikipedia.org/wiki/Black_Fox_(Robert_Paine)	Black Fox (Dr. Robert William Paine) is a fictional superhero appearing in American comic books published by Marvel Comics.
Black_Jack_Tarr	Black Jack Tarr	Q4921080	https://en.wikipedia.org/wiki/Black_Jack_Tarr	"Black" Jack Tarr is a fictional character appearing in American comic books published by Marvel Comics.
Black_Knight_(Marvel_Comics)	Black Knight (Marvel Comics)	Q1149800	https://en.wikipedia.org/wiki/Black_Knight_(Marvel_Comics)	The Black Knight is the alias of several fictional characters appearing in American comic books published by Marvel Comics.
Black_Marvel	Black Marvel	Q3544444	https://en.wikipedia.org/wiki/Black_Marvel	The Black Marvel (Daniel Lyons) is a fictional superhero appearing in American comic books published by Marvel Comics.
Black_Panther_(character)	Black Panther (character)	Q998220	https://en.wikipedia.org/wiki/Black_Panther_(character)	Black Panther is a superhero appearing in American comic books published by Marvel Comics.
Black_Rider_(character)	Black Rider (character)	Q4921594	https://en.wikipedia.org/wiki/Black_Rider_(character)	The Black Rider is a fictional Western character appearing in American comic books published by Marvel Comics.
Black_Widow_(Natasha_Romanova)	Black Widow (Natasha Romanova)	Q369197	https://en.wikipedia.org/wiki/Black_Widow_(Natasha_Romanova)	Black Widow is a superhero appearing in American comic books published by Marvel Comics.
Blackthorn_(character)	Blackthorn (character)	Q4923455	https://en.wikipedia.org/wiki/Blackthorn_(character)	Blackthorn (Aline Pagrovna) is a superhero appearing in American comic books published by Marvel Comics.
Blackwulf	Blackwulf	Q4923646	https://en.wikipedia.org/wiki/Blackwulf	Blackwulf (Lucian) is a character appearing in American comic books published by Marvel Comics.
Blade_(character)	Blade (character)	Q881024	https://en.wikipedia.org/wiki/Blade_(character)	Blade is an antihero appearing in American comic books published by Marvel Comics.
Blazing_Skull	Blazing Skull	Q2906321	https://en.wikipedia.org/wiki/Blazing_Skull	The Blazing Skull (Mark Anthony Todd) is a fictional character appearing in American comic books published by Marvel Comics.
Blue_Bullet	Blue Bullet	Q119508142	https://en.wikipedia.org/wiki/Blue_Bullet	Blue Bullet is a fictional character appearing in American comic books published by Marvel Comics Creation The character was created as an homage to the Fawcett comics character Bullet Man.
Blue_Diamond_(character)	Blue Diamond (character)	Q2016099	https://en.wikipedia.org/wiki/Blue_Diamond_(character)	Blue Diamond is a superhero appearing in American comic books published by Marvel Comics, debuting under the company's 1940s forerunner, Timely Comics.
Blue_Eagle_(character)	Blue Eagle (character)	Q4929083	https://en.wikipedia.org/wiki/Blue_Eagle_(character)	Blue Eagle (James Dore Jr.) is a fictional character appearing in American comic books published by Marvel Comics.
Blue_Marvel	Blue Marvel	Q4929412	https://en.wikipedia.org/wiki/Blue_Marvel	Blue Marvel (Adam Bernard Brashear) is a superhero appearing in American comic books published by Marvel Comics.
Bob,_Agent_of_Hydra	Bob, Agent of Hydra	Q3545619	https://en.wikipedia.org/wiki/Bob,_Agent_of_Hydra	Bob, Agent of Hydra (Robert Dobalina) is a fictional character appearing in American comic books published by Marvel Comics.
Box_(comics)	Box (comics)	Q2735518	https://en.wikipedia.org/wiki/Box_(comics)	Box (Roger Bochs) is a fictional superhero appearing in American comic books published by Marvel Comics, specifically Alpha Flight, of which Box was a member.
Brain_Drain_(character)	Brain Drain (character)	Q4955758	https://en.wikipedia.org/wiki/Brain_Drain_(character)	Brain Drain (Werner Schmidt) is a character appearing in American comic books published by Marvel Comics.
Breeze_Barton	Breeze Barton	Q16987999	https://en.wikipedia.org/wiki/Breeze_Barton	Breeze Barton is a fictional character appearing in American comic books published by Marvel Comics.
Brian_Braddock	Brian Braddock	Q113988109	https://en.wikipedia.org/wiki/Brian_Braddock	Brian Braddock is a superhero appearing in British and American comic books published by Marvel Comics.
Bucky_(Marvel_Comics)	Bucky (Marvel Comics)	Q850685	https://en.wikipedia.org/wiki/Bucky_(Marvel_Comics)	Bucky is the name used by several different fictional characters appearing in American comic books published by Marvel Comics, usually as a sidekick to Captain America.
Bug_(Marvel_Comics)	Bug (Marvel Comics)	Q4986067	https://en.wikipedia.org/wiki/Bug_(Marvel_Comics)	Bug is a superhero appearing in American comic books published by Marvel Comics.
Cable_(character)	Cable (character)	Q2267017	https://en.wikipedia.org/wiki/Cable_(character)	Cable (Nathan Christopher Charles Summers) is a character appearing in American comic books published by Marvel Comics, commonly in association with X-Force and the X-Men.
Cammi_(character)	Cammi (character)	Q16828778	https://en.wikipedia.org/wiki/Cammi_(character)	Cammi (Camille Benally) is a character appearing in American comic books published by Marvel Comics.
Captain_Marvel_(Khn'nr)	Captain Marvel (Khn'nr)	Q3888882	https://en.wikipedia.org/wiki/Captain_Marvel_(Khn%27nr)	Khn'nr is a character appearing in American comic books published by Marvel Comics.
Captain_Marvel_(Marvel_Comics)	Captain Marvel (Marvel Comics)	Q2937657	https://en.wikipedia.org/wiki/Captain_Marvel_(Marvel_Comics)	Captain Marvel is the name of several superheroes appearing in American comic books published by Marvel Comics.
Captain_Midlands	Captain Midlands	Q5036732	https://en.wikipedia.org/wiki/Captain_Midlands	Captain Midlands (Sid Ridley) is a fictional character appearing in American comic books published by Marvel Comics.
Captain_Ultra	Captain Ultra	Q5036840	https://en.wikipedia.org/wiki/Captain_Ultra	Captain Ultra (Griffin Gogol) is a superhero appearing in American comic books published by Marvel Comics.
Captain_Universe	Captain Universe	Q2973579	https://en.wikipedia.org/wiki/Captain_Universe	Captain Universe is a character appearing in American comic books published by Marvel Comics.
Caretaker_(comics)	Caretaker (comics)	Q5039063	https://en.wikipedia.org/wiki/Caretaker_(comics)	The Caretaker is a fictional character appearing in American comic books published by Marvel Comics.
Ch'od	Ch'od	Q5065882	https://en.wikipedia.org/wiki/Ch%27od	Ch'od is a fictional character appearing in American comic books published by Marvel Comics.
Charcoal_(comics)	Charcoal (comics)	Q2957689	https://en.wikipedia.org/wiki/Charcoal_(comics)	Charcoal (Charlie Burlingame) is a fictional character appearing in American comic books published by Marvel Comics.
Chase_Stein	Chase Stein	Q734247	https://en.wikipedia.org/wiki/Chase_Stein	Victor Chase Stein (also known as Talkback) is a superhero appearing in American comic books published by Marvel Comics.
Citizen_V	Citizen V	Q5122591	https://en.wikipedia.org/wiki/Citizen_V	Citizen V is the codename of several superheroes appearing in American comic books published by Marvel Comics.
Cloak_and_Dagger_(characters)	Cloak and Dagger (characters)	Q2419540	https://en.wikipedia.org/wiki/Cloak_and_Dagger_(characters)	Cloak (Tyrone "Ty" Johnson) and Dagger (Tandy Bowen) are a superhero duo appearing in American comic books published by Marvel Comics.
Coldblood	Coldblood	Q4135919	https://en.wikipedia.org/wiki/Coldblood	Coldblood-7 (Eric Savin) is a fictional character appearing in American comic books published by Marvel Comics.
Crane_Mother	Crane Mother	Q29098110	https://en.wikipedia.org/wiki/Crane_Mother	Crane Mother is a fictional character appearing in American comic books published by Marvel Comics.
Crippler_(character)	Crippler (character)	Q5185846	https://en.wikipedia.org/wiki/Crippler_(character)	Crippler is a fictional character appearing in American comic books published by Marvel Comics.
Cyclops_(Marvel_Comics)	Cyclops (Marvel Comics)	Q857921	https://en.wikipedia.org/wiki/Cyclops_(Marvel_Comics)	Cyclops is a superhero appearing in American comic books published by Marvel Comics.
Dargo_Ktor	Dargo Ktor	Q113903754	https://en.wikipedia.org/wiki/Dargo_Ktor	Dargo Ktor is a fictional superhero appearing in American comic books published by Marvel Comics.
Darkdevil	Darkdevil	Q5223578	https://en.wikipedia.org/wiki/Darkdevil	Darkdevil (Reilly Tyne) is a superhero appearing in American comic books published by Marvel Comics.
Darkhawk	Darkhawk	Q2539485	https://en.wikipedia.org/wiki/Darkhawk	Darkhawk (Christopher Powell) is a superhero appearing in American comic books published by Marvel Comics.
Deadpool	Deadpool	Q1631090	https://en.wikipedia.org/wiki/Deadpool	Deadpool is a character appearing in American comic books published by Marvel Comics.
Deathlok	Deathlok	Q2526966	https://en.wikipedia.org/wiki/Deathlok	Deathlok (also referred to as Deathlok the Demolisher) is the name of several fictional characters appearing in American comic books published by Marvel Comics.
Debrii	Debrii	Q5248565	https://en.wikipedia.org/wiki/Debrii	Debrii (Deborah Fields) is a character appearing in American comic books published by Marvel Comics.
Delroy_Garrett	Delroy Garrett	Q16993964	https://en.wikipedia.org/wiki/Delroy_Garrett	Delroy Garrett is a superhero appearing in American comic books published by Marvel Comics.
Detroit_Steel	Detroit Steel	Q5266016	https://en.wikipedia.org/wiki/Detroit_Steel	Detroit Steel is a fictional suit of powered armor appearing in American comic books published by Marvel Comics, in which it is usually operated by adversaries or rivals of Iron Man.
Devil_Dinosaur	Devil Dinosaur	Q5267281	https://en.wikipedia.org/wiki/Devil_Dinosaur	Devil Dinosaur is a character appearing in American comic books published by Marvel Comics.
Devil_Hulk	Devil Hulk	Q5267302	https://en.wikipedia.org/wiki/Devil_Hulk	The Devil Hulk, also known as the Immortal Hulk, is a fictional alternate-personality character appearing in American comic books published by Marvel Comics.
Digitek_(character)	Digitek (character)	Q3707609	https://en.wikipedia.org/wiki/Digitek_(character)	Digitek (Jonathan Bryant) is a character appearing in American comic books published by Marvel Comics.
Doctor_Druid	Doctor Druid	Q3033512	https://en.wikipedia.org/wiki/Doctor_Druid	Doctor Anthony Druid, also known as Doctor Droom and Druid, is a fictional mystic and a supernatural monster-hunter appearing in American comic books published by Marvel Comics.
Doctor_Nemesis	Doctor Nemesis	Q512578	https://en.wikipedia.org/wiki/Doctor_Nemesis	Doctor Nemesis is the name of two characters appearing in American comic books published by Marvel Comics and Ace Magazines.
Doctor_Spectrum	Alice Nugent	Q1761283	https://en.wikipedia.org/wiki/Doctor_Spectrum	Doctor Spectrum is the name of several fictional characters appearing in American comic books published by Marvel Comics.
Doctor_Strange	Doctor Strange	Q907767	https://en.wikipedia.org/wiki/Doctor_Strange	Dr. Stephen Vincent Strange is a superhero appearing in American comic books published by Marvel Comics.
Dogpool	Dogpool	Q127868350	https://en.wikipedia.org/wiki/Dogpool	Dogpool is a superhero dog appearing in American comic books published by Marvel Comics.
Doom_2099	Doom 2099	Q5297058	https://en.wikipedia.org/wiki/Doom_2099	Doom 2099 is an American comic book series published by Marvel Comics, featuring the fictional anti-hero Doom, aka Victor Von Doom.
Dragon_Lord_(character)	Dragon Lord (character)	Q5305233	https://en.wikipedia.org/wiki/Dragon_Lord_(character)	Dragon Lord is the name of several unrelated fictional characters appearing in American comic books published by Marvel Comics.
Dusk_(comics)	Dusk (comics)	Q1869290	https://en.wikipedia.org/wiki/Dusk_(comics)	Dusk is the name of several characters appearing in American comic books published by Marvel Comics.
Eddie_Brock	Eddie Brock	Q2604715	https://en.wikipedia.org/wiki/Eddie_Brock	Edward Charles Allan Brock is a character appearing in American comic books published by Marvel Comics.
Elsa_Bloodstone	Elsa Bloodstone	Q3051712	https://en.wikipedia.org/wiki/Elsa_Bloodstone	Elsa Bloodstone is a character appearing in American comic books published by Marvel Comics.
Emma_Frost	Emma Frost	Q1995969	https://en.wikipedia.org/wiki/Emma_Frost	Emma Grace Frost is a character appearing in American comic books published by Marvel Comics.
Empath_(character)	Empath (character)	Q2364510	https://en.wikipedia.org/wiki/Empath_(character)	Empath (Manuel Alfonso Rodrigo de la Rocha) is a character appearing in American comic books published by Marvel Comics.
Emrys_Killebrew	Emrys Killebrew	Q25136958	https://en.wikipedia.org/wiki/Emrys_Killebrew	Emrys Killebrew is a fictional character that appears in comic books published by Marvel Comics as a supporting character of Deadpool.
Enigma_(Marvel_Comics)	Enigma (Marvel Comics)	Q5378913	https://en.wikipedia.org/wiki/Enigma_(Marvel_Comics)	Enigma (Tara Virango) is a superheroine appearing in American comic books published by Marvel Comics.
Ethan_Edwards	Ethan Edwards	Q5402926	https://en.wikipedia.org/wiki/Ethan_Edwards	Ethan Edwards is a superhero appearing in American comic books published by Marvel Comics.
Fabio_Medina	Fabio Medina	Q20656958	https://en.wikipedia.org/wiki/Fabio_Medina	Fabio Medina is a fictional superhero appearing in American comic books published by Marvel Comics.
Fandral	Fandral	Q3545295	https://en.wikipedia.org/wiki/Fandral	Fandral the Dashing is a fictional character appearing in American comic books published by Marvel Comics.
Father_Time_(Marvel_Comics)	Father Time (Marvel Comics)	Q5437661	https://en.wikipedia.org/wiki/Father_Time_(Marvel_Comics)	Father Time (Larry Scott) is a superhero appearing in American comic books published by Marvel Comics.
Fin_Fang_Foom	Fin Fang Foom	Q2604737	https://en.wikipedia.org/wiki/Fin_Fang_Foom	Fin Fang Foom is a character appearing in American comic books published by Marvel Comics.
Firebird_(Marvel_Comics)	Firebird (Marvel Comics)	Q3072826	https://en.wikipedia.org/wiki/Firebird_(Marvel_Comics)	Firebird (Bonita Juarez) is a superhero character appearing in American comic books published by Marvel Comics.
Firelord_(character)	Firelord (character)	Q2405958	https://en.wikipedia.org/wiki/Firelord_(character)	Firelord (Pyreus Kril) is a character appearing in American comic books published by Marvel Comics.
Flatman_(character)	Flatman (character)	Q5457942	https://en.wikipedia.org/wiki/Flatman_(character)	Flatman (Matt) is a superhero appearing in American comic books published by Marvel Comics.
Force_(comics)	Force (comics)	Q5467422	https://en.wikipedia.org/wiki/Force_(comics)	Force is a character appearing in American comic books published by Marvel Comics.
Frankenstein's_Monster_(Marvel_Comics)	Frankenstein's Monster (Marvel Comics)	Q1131389	https://en.wikipedia.org/wiki/Frankenstein%27s_Monster_(Marvel_Comics)	Frankenstein's Monster is a fictional character appearing in American comic books published by Marvel Comics.
Franklin_Richards_(character)	Franklin Richards (character)	Q2624716	https://en.wikipedia.org/wiki/Franklin_Richards_(character)	Franklin Benjamin Richards is a fictional character appearing in American comic books published by Marvel Comics.
Frog-Man	Frog-Man	Q5505166	https://en.wikipedia.org/wiki/Frog-Man	Frog-Man (Eugene Patilio) is a comedic superhero appearing in American comic books published by Marvel Comics.
G._W._Bridge	G. W. Bridge	Q3093070	https://en.wikipedia.org/wiki/G._W._Bridge	George Washington "G. W." Bridge is a character appearing in American comic books published by Marvel Comics.
Gargoyle_(comics)	Gargoyle (comics)	Q3055537	https://en.wikipedia.org/wiki/Gargoyle_(comics)	Gargoyle is a name shared by two characters appearing in American comic books published by Marvel Comics.
Garrison_Kane	Garrison Kane	Q3098468	https://en.wikipedia.org/wiki/Garrison_Kane	Garrison Kane, also known as Weapon X and Kane, is a character appearing in American comic books published by Marvel Comics.
Gauntlet_(Joseph_Green)	Gauntlet (Joseph Green)	Q3099457	https://en.wikipedia.org/wiki/Gauntlet_(Joseph_Green)	The Gauntlet (Joseph Green) is a superhero appearing in American comic books published by Marvel Comics.
Genis-Vell	Genis-Vell	Q775371	https://en.wikipedia.org/wiki/Genis-Vell	Genis-Vell is a superhero appearing in American comic books published by Marvel Comics.
Ghost_Rider	Ghost Rider	Q868958	https://en.wikipedia.org/wiki/Ghost_Rider	Ghost Rider is the name of multiple superheroes appearing in American comic books published by Marvel Comics.
Ghost_Rider_(Danny_Ketch)	Ghost Rider (Danny Ketch)	Q5557137	https://en.wikipedia.org/wiki/Ghost_Rider_(Danny_Ketch)	Ghost Rider (Daniel "Danny" Ketch) is a character appearing in American comic books published by Marvel Comics.
Ghost_Rider_(Johnny_Blaze)	Ghost Rider (Johnny Blaze)	Q836748	https://en.wikipedia.org/wiki/Ghost_Rider_(Johnny_Blaze)	Ghost Rider (Johnathon "Johnny" Blaze) is a fictional character appearing in American comic books published by Marvel Comics.
Gladiator_(Kallark)	Gladiator (Kallark)	Q2420331	https://en.wikipedia.org/wiki/Gladiator_(Kallark)	Gladiator (Kallark) is a fictional character appearing in American comic books published by Marvel Comics.
Golem_(Marvel_Comics)	Golem (Marvel Comics)	Q3546467	https://en.wikipedia.org/wiki/Golem_(Marvel_Comics)	The Golem is the name of a number of fictional characters appearing in American comic books published by Marvel Comics.
Gorgon_(Inhuman)	Gorgon (Inhuman)	Q3359399	https://en.wikipedia.org/wiki/Gorgon_(Inhuman)	Gorgon is a character appearing in American comic books published by Marvel Comics.
Gremlin_(comics)	Gremlin (comics)	Q3032140	https://en.wikipedia.org/wiki/Gremlin_(comics)	The Gremlin (Kondrati Topolov) is a fictional character appearing in American comic books published by Marvel Comics.
Guardian_(Marvel_Comics)	Guardian (Marvel Comics)	Q1410619	https://en.wikipedia.org/wiki/Guardian_(Marvel_Comics)	Guardian (James Hudson; also known as Weapon Alpha or Vindicator) is a fictional superhero appearing in American comic books published by Marvel Comics.
Guardsman_(character)	Guardsman (character)	Q12964384	https://en.wikipedia.org/wiki/Guardsman_(character)	The Guardsman is the name of several characters appearing in American comic books published by Marvel Comics.
Gwenpool	Gwenpool	Q25352613	https://en.wikipedia.org/wiki/Gwenpool	Gwenpool (Gwendolyn "Gwen" Poole; colloquial: "GwenPool") is a fictional character appearing in American comic books published by Marvel Comics.
Hank_Pym	Hank Pym	Q2057532	https://en.wikipedia.org/wiki/Hank_Pym	Dr. Henry Jonathan Pym is a character appearing in American comic books published by Marvel Comics.
Happy_Sam_Sawyer	Happy Sam Sawyer	Q5653016	https://en.wikipedia.org/wiki/Happy_Sam_Sawyer	Samuel Sawyer is a character appearing in American comic books published by Marvel Comics.
Hawkeye_(comics)	Hawkeye (comics)	Q124706947	https://en.wikipedia.org/wiki/Hawkeye_(comics)	Hawkeye is the name of several fictional characters appearing in American comic books published by Marvel Comics.
Helix_(Marvel_Comics)	Helix (Marvel Comics)	Q5706247	https://en.wikipedia.org/wiki/Helix_(Marvel_Comics)	Helix (Rafael Carago) is a superhero appearing in American comic books published by Marvel Comics.
Hellfire_(J._T._Slade)	Hellfire (J. T. Slade)	Q25214275	https://en.wikipedia.org/wiki/Hellfire_(J._T._Slade)	Hellfire (J. T. Slade) is a fictional character appearing in American comic books published by Marvel Comics.
Hellion_(character)	Hellion (character)	Q107176961	https://en.wikipedia.org/wiki/Hellion_(character)	Hellion (Julian Keller) is a fictional character, a mutant appearing in American comic books published by Marvel Comics.
Hercules_(Marvel_Comics)	Hercules (Marvel Comics)	Q534889	https://en.wikipedia.org/wiki/Hercules_(Marvel_Comics)	Hercules Panhellenios is a character appearing in American comic books published by Marvel Comics.
Hit-Monkey	Hit-Monkey	Q4497911	https://en.wikipedia.org/wiki/Hit-Monkey	Hit-Monkey is a character appearing in American comic books published by Marvel Comics.
Hornet_(comics)	Hornet (comics)	Q2053102	https://en.wikipedia.org/wiki/Hornet_(comics)	Hornet is an identity used by five fictional characters appearing in American comic books published by Marvel Comics: two supervillains, and three superheroes.
Hrimhari	Hrimhari	Q5923690	https://en.wikipedia.org/wiki/Hrimhari	Hrimhari is a fictional character appearing in American comic books published by Marvel Comics.
Hulk	Hulk	Q188760	https://en.wikipedia.org/wiki/Hulk	The Hulk is a superhero appearing in American comic books published by Marvel Comics.
Hulk_2099	Hulk 2099	Q3549256	https://en.wikipedia.org/wiki/Hulk_2099	Hulk 2099 (John Eisenhart) is a fictional character appearing in American comic books published by Marvel Comics.
Hulkling	Hulkling	Q2526766	https://en.wikipedia.org/wiki/Hulkling	Hulkling is a superhero appearing in American comic books published by Marvel Comics.
Human_Fly_(character)	Human Fly (character)	Q3325409	https://en.wikipedia.org/wiki/Human_Fly_(character)	The Human Fly is the name of three characters appearing in American comic books published by Marvel Comics.
Human_Torch	Human Torch	Q584585	https://en.wikipedia.org/wiki/Human_Torch	The Human Torch (Jonathan Lowell Spencer "Johnny" Storm) is a superhero appearing in American comic books published by Marvel Comics.
Human_Torch_(android)	Human Torch (android)	Q1004568	https://en.wikipedia.org/wiki/Human_Torch_(android)	The Human Torch, also known as Jim Hammond, is a superhero appearing in American comic books published by Marvel Comics.
Hybrid_(Scott_Washington)	Hybrid (Scott Washington)	Q2944353	https://en.wikipedia.org/wiki/Hybrid_(Scott_Washington)	Hybrid (Scott Washington) is a fictional anti-hero appearing in American comic books published by Marvel Comics.
Hyperion_(character)	Hyperion (character)	Q3550487	https://en.wikipedia.org/wiki/Hyperion_(character)	Hyperion is a superhero appearing in American comic books published by Marvel Comics, of which there are several notable versions.
Ikaris	Ikaris	Q2320351	https://en.wikipedia.org/wiki/Ikaris	Ikaris is a fictional character appearing in American comic books published by Marvel Comics.
Illuminator_(Marvel_Comics)	Illuminator (Marvel Comics)	Q113624919	https://en.wikipedia.org/wiki/Illuminator_(Marvel_Comics)	Illuminator is a fictional Christian superhero appearing in American comic books published by Marvel Comics, which debuted during a collaboration with Thomas Nelson.
Inferno_(Dante_Pertuz)	Inferno (Dante Pertuz)	Q20857996	https://en.wikipedia.org/wiki/Inferno_(Dante_Pertuz)	Inferno (Dante Pertuz) is a superhero appearing in American comic books published by Marvel Comics.
Iron_Fist_(character)	Iron Fist (character)	Q1194243	https://en.wikipedia.org/wiki/Iron_Fist_(character)	Iron Fist (Daniel Thomas "Danny" Rand-K'ai) is a superhero appearing in American comic books published by Marvel Comics.
Iron_Lad	Iron Lad	Q1447287	https://en.wikipedia.org/wiki/Iron_Lad	Iron Lad (Nathaniel "Nate" Richards) is a superhero character appearing in American comic books published by Marvel Comics.
Iron_Man_(Ultimate_Marvel_character)	Iron Man (Ultimate Marvel character)	Q288516	https://en.wikipedia.org/wiki/Iron_Man_(Ultimate_Marvel_character)	Iron Man (Antonio "Tony" Stark) is a fictional character appearing in American comic books published by Marvel Comics.
Iron_Man_2020	Iron Man 2020	Q6072691	https://en.wikipedia.org/wiki/Iron_Man_2020	Iron Man 2020 (Arno Stark) is a fictional character appearing in American comic books published by Marvel Comics.
Isaiah_Bradley	Isaiah Bradley	Q3155104	https://en.wikipedia.org/wiki/Isaiah_Bradley	Isaiah Bradley is one of the superheroes to hold the title of Captain America, appearing in American comic books published by Marvel Comics.
Jack_Frost_(Marvel_Comics)	Jack Frost (Marvel Comics)	Q3805581	https://en.wikipedia.org/wiki/Jack_Frost_(Marvel_Comics)	Jack Frost is a fictional superhero appearing in American comic books published by Marvel Comics.
Jack_Monroe_(character)	Jack Monroe (character)	Q28433219	https://en.wikipedia.org/wiki/Jack_Monroe_(character)	Jack Monroe is a fictional superhero appearing in American comic books published by Marvel Comics.
Janice_Lincoln	Janice Lincoln	Q16203548	https://en.wikipedia.org/wiki/Janice_Lincoln	Janice Lincoln is a supervillain appearing in American comic books published by Marvel Comics.
Jean_Grey	Jean Grey	Q5350072	https://en.wikipedia.org/wiki/Jean_Grey	Jean Grey is a superhero appearing in American comic books published by Marvel Comics, usually those featuring the X-Men, a group of superheroes of which she is a founding member.
Jean_Grey_(X-Men_film_series)	Jean Grey (X-Men film series)	Q108366195	https://en.wikipedia.org/wiki/Jean_Grey_(X-Men_film_series)	Jean Grey is a character featured in the X-Men film series produced by 20th Century Fox.
Jeffrey_Mace	Jeffrey Mace	Q3545581	https://en.wikipedia.org/wiki/Jeffrey_Mace	Jeffrey Solomon Mace, also known as the Patriot and Captain America, is a superhero appearing in American comic books published by Marvel Comics.
Jericho_Drumm	Jericho Drumm	Q1149808	https://en.wikipedia.org/wiki/Jericho_Drumm	Dr. Jericho Drumm is a fictional character appearing in American comic books published by Marvel Comics.
Jessica_Jones	Jessica Jones	Q2271377	https://en.wikipedia.org/wiki/Jessica_Jones	Jessica Campbell Jones-Cage, professionally known as Jessica Jones, is a superhero appearing in American comic books published by Marvel Comics.
John_Jameson_(character)	John Jameson (character)	Q2423326	https://en.wikipedia.org/wiki/John_Jameson_(character)	John Jonah Jameson III (also known as Colonel Jupiter, the Man-Wolf and the Stargod) is a fictional character appearing in American comic books published by Marvel Comics.
Jubilee_(character)	Jubilee (character)	Q59665	https://en.wikipedia.org/wiki/Jubilee_(character)	Jubilee (Jubilation Lee) is a superhero appearing in American comic books published by Marvel Comics, most commonly in association with the X-Men.
