# 02805 shared playground — week 1 release (frozen snapshot, 2026-08-26)
# Wikipedia Category:Marvel Comics superheroes: one node per character; edge A -> B
# when the article of A links to the article of B. 303 nodes, 1784 directed edges.
# 17 characters have no edge in either direction — take the full node set from week1_nodes.tsv.
# source	target
Betsy_Braddock	Brian_Braddock
Betsy_Braddock	Cable_(character)
Betsy_Braddock	Captain_Marvel_(Marvel_Comics)
Betsy_Braddock	Cyclops_(Marvel_Comics)
Betsy_Braddock	Deadpool
Betsy_Braddock	Deathlok
Betsy_Braddock	Doctor_Nemesis
Betsy_Braddock	Doctor_Strange
Betsy_Braddock	Emma_Frost
Betsy_Braddock	Hellion_(character)
Betsy_Braddock	Jean_Grey
Betsy_Braddock	Jubilee_(character)
Betsy_Braddock	Man-Thing
Betsy_Braddock	Northstar_(character)
Betsy_Braddock	Phoenix_Force
Betsy_Braddock	Puck_(Marvel_Comics)
Betsy_Braddock	Quicksilver_(Marvel_Comics)
Betsy_Braddock	Rachel_Summers
Betsy_Braddock	Rockslide_(character)
Betsy_Braddock	Scarlet_Witch
Betsy_Braddock	Spider-Man
Betsy_Braddock	Storm_(Marvel_Comics)
Betsy_Braddock	Surge_(Marvel_Comics)
Betsy_Braddock	Vulcan_(Marvel_Comics)
Betsy_Braddock	Wolverine_(character)
Betsy_Braddock	Xorn
Bill_Foster_(character)	Black_Panther_(character)
Bill_Foster_(character)	Hank_Pym
Bill_Foster_(character)	Hercules_(Marvel_Comics)
Bill_Foster_(character)	Hulk
Bill_Foster_(character)	Iron_Fist_(character)
Bill_Foster_(character)	Jericho_Drumm
Bill_Foster_(character)	Luke_Cage
Bill_Foster_(character)	Mockingbird_(Marvel_Comics)
Bill_Foster_(character)	Moon_Knight
Bill_Foster_(character)	Quasar_(character)
Bill_Foster_(character)	Spider-Man
Bill_Foster_(character)	Spider-Woman_(Jessica_Drew)
Black_Bolt	Gorgon_(Inhuman)
Black_Bolt	Hulk
Black_Bolt	Human_Torch
Black_Bolt	Karnak_(character)
Black_Bolt	Kristoff_Vernard
Black_Bolt	Quicksilver_(Marvel_Comics)
Black_Bolt	Sentry_(Robert_Reynolds)
Black_Bolt	Spider-Man
Black_Bolt	Vulcan_(Marvel_Comics)
Black_Cat_(Marvel_Comics)	Blade_(character)
Black_Cat_(Marvel_Comics)	Doctor_Strange
Black_Cat_(Marvel_Comics)	Hulk
Black_Cat_(Marvel_Comics)	Jericho_Drumm
Black_Cat_(Marvel_Comics)	Killraven
Black_Cat_(Marvel_Comics)	Mayday_Parker
Black_Cat_(Marvel_Comics)	Misty_Knight
Black_Cat_(Marvel_Comics)	Morbius
Black_Cat_(Marvel_Comics)	Paladin_(comics)
Black_Cat_(Marvel_Comics)	Scarlet_Spider
Black_Cat_(Marvel_Comics)	Spider-Man
Black_Cat_(Marvel_Comics)	Spider-Man_Noir
Black_Cat_(Marvel_Comics)	Spider-Woman_(Jessica_Drew)
Black_Cat_(Marvel_Comics)	Wolverine_(character)
Black_Jack_Tarr	Shang-Chi
Black_Knight_(Marvel_Comics)	Black_Panther_(character)
Black_Knight_(Marvel_Comics)	Doctor_Strange
Black_Knight_(Marvel_Comics)	Hank_Pym
Black_Marvel	Spider-Man
Black_Marvel	Whizzer_(Robert_Frank)
Black_Panther_(character)	Bill_Foster_(character)
Black_Panther_(character)	Black_Bolt
Black_Panther_(character)	Deadpool
Black_Panther_(character)	Deathlok
Black_Panther_(character)	Doctor_Strange
Black_Panther_(character)	Luke_Cage
Black_Panther_(character)	Misty_Knight
Black_Panther_(character)	Scarlet_Witch
Black_Panther_(character)	Shuri_(character)
Black_Panther_(character)	Storm_(Marvel_Comics)
Black_Panther_(character)	White_Tiger_(comics)
Black_Rider_(character)	Doctor_Strange
Black_Rider_(character)	Kid_Colt
Black_Rider_(character)	Tarantula_(Marvel_Comics)
Black_Rider_(character)	Two-Gun_Kid
Black_Widow_(Natasha_Romanova)	Ghost_Rider_(Johnny_Blaze)
Black_Widow_(Natasha_Romanova)	Hercules_(Marvel_Comics)
Black_Widow_(Natasha_Romanova)	Red_Guardian
Black_Widow_(Natasha_Romanova)	Spider-Man
Black_Widow_(Natasha_Romanova)	Venom_(character)
Black_Widow_(Natasha_Romanova)	Wolverine_(character)
Black_Widow_(Natasha_Romanova)	Yelena_Belova
Blackthorn_(character)	Radian_(Morituri)
Blackwulf	Deathlok
Blackwulf	Hank_Pym
Blade_(character)	Doctor_Strange
Blade_(character)	Ghost_Rider_(Danny_Ketch)
Blade_(character)	Ghost_Rider_(Johnny_Blaze)
Blade_(character)	Gwenpool
Blade_(character)	Jubilee_(character)
Blade_(character)	Man-Thing
Blade_(character)	Moon_Knight
Blade_(character)	Morbius
Blade_(character)	Ronin_(Marvel_Comics)
Blade_(character)	Satana_(Marvel_Comics)
Blade_(character)	Spider-Man
Blade_(character)	Spitfire_(character)
Blazing_Skull	Black_Marvel
Blazing_Skull	Ghost_Rider_(Johnny_Blaze)
Blazing_Skull	Jeffrey_Mace
Blazing_Skull	Quasar_(character)
Blazing_Skull	She-Hulk
Blazing_Skull	Skull_the_Slayer
Blazing_Skull	U.S._Agent
Blazing_Skull	Union_Jack_(Marvel_Comics)
Blue_Bullet	Doctor_Nemesis
Blue_Bullet	Golem_(Marvel_Comics)
Blue_Diamond_(character)	Citizen_V
Blue_Diamond_(character)	Human_Torch
Blue_Diamond_(character)	Human_Torch_(android)
Blue_Diamond_(character)	Jack_Frost_(Marvel_Comics)
Blue_Diamond_(character)	Jeffrey_Mace
Blue_Diamond_(character)	Makkari_(character)
Blue_Diamond_(character)	Red_Raven_(Marvel_Comics)
Blue_Diamond_(character)	Thin_Man_(character)
Blue_Diamond_(character)	Whizzer_(Robert_Frank)
Blue_Eagle_(character)	Black_Widow_(Natasha_Romanova)
Blue_Marvel	Hulk
Blue_Marvel	Hyperion_(character)
Blue_Marvel	Luke_Cage
Blue_Marvel	Sentry_(Robert_Reynolds)
Bob,_Agent_of_Hydra	Agent_X_(Marvel_Comics)
Bob,_Agent_of_Hydra	Deadpool
Bob,_Agent_of_Hydra	Doctor_Strange
Bob,_Agent_of_Hydra	Hulk
Bob,_Agent_of_Hydra	Outlaw_(Marvel_Comics)
Bob,_Agent_of_Hydra	Spider-Man
Bob,_Agent_of_Hydra	Wolverine_(character)
Box_(comics)	Guardian_(Marvel_Comics)
Box_(comics)	Vindicator_(comics)
Brian_Braddock	Arabian_Knight_(character)
Brian_Braddock	Betsy_Braddock
Brian_Braddock	Elsa_Bloodstone
Brian_Braddock	Emma_Frost
Brian_Braddock	Hulk
Brian_Braddock	Killpower
Brian_Braddock	Ms._Marvel
Brian_Braddock	Rachel_Summers
Brian_Braddock	Spider-Man
Brian_Braddock	Spitfire_(character)
Brian_Braddock	Union_Jack_(Marvel_Comics)
Bucky_(Marvel_Comics)	Battlestar_(character)
Bucky_(Marvel_Comics)	Franklin_Richards_(character)
Bucky_(Marvel_Comics)	Jack_Monroe_(character)
Bucky_(Marvel_Comics)	Jeffrey_Mace
Bucky_(Marvel_Comics)	Nomad_(Marvel_Comics)
Bucky_(Marvel_Comics)	Rikki_Barnes
Bucky_(Marvel_Comics)	U.S._Agent
Bucky_(Marvel_Comics)	War_Machine
Bucky_(Marvel_Comics)	William_Burnside_(character)
Bug_(Marvel_Comics)	Genis-Vell
Bug_(Marvel_Comics)	Moondragon
Bug_(Marvel_Comics)	Rocket_Raccoon
Bug_(Marvel_Comics)	Star-Lord
Cable_(character)	Betsy_Braddock
Cable_(character)	Cyclops_(Marvel_Comics)
Cable_(character)	Deadpool
Cable_(character)	Doctor_Nemesis
Cable_(character)	Hercules_(Marvel_Comics)
Cable_(character)	Jean_Grey
Cable_(character)	Phoenix_Force
Cable_(character)	Rachel_Summers
Cable_(character)	Rusty_Collins
Cable_(character)	Shatterstar
Cable_(character)	Wolverine_(character)
Cammi_(character)	Chase_Stein
Cammi_(character)	Darkhawk
Cammi_(character)	Nova_(Richard_Rider)
Captain_Marvel_(Khn'nr)	Captain_Marvel_(Marvel_Comics)
Captain_Marvel_(Khn'nr)	Noh-Varr
Captain_Marvel_(Marvel_Comics)	Captain_Marvel_(Khn'nr)
Captain_Marvel_(Marvel_Comics)	Elsa_Bloodstone
Captain_Marvel_(Marvel_Comics)	Genis-Vell
Captain_Marvel_(Marvel_Comics)	Hank_Pym
Captain_Marvel_(Marvel_Comics)	Kismet_(Marvel_Comics)
Captain_Marvel_(Marvel_Comics)	Machine_Man
Captain_Marvel_(Marvel_Comics)	Moondragon
Captain_Marvel_(Marvel_Comics)	Ms._Marvel
Captain_Marvel_(Marvel_Comics)	Noh-Varr
Captain_Marvel_(Marvel_Comics)	Nova_(Richard_Rider)
Captain_Marvel_(Marvel_Comics)	Phyla-Vell
Captain_Marvel_(Marvel_Comics)	Quasar_(character)
Captain_Marvel_(Marvel_Comics)	Radioactive_Man_(comics)
Captain_Marvel_(Marvel_Comics)	Scarlet_Witch
Captain_Ultra	Doctor_Strange
Captain_Universe	Deadpool
Captain_Universe	Doctor_Druid
Captain_Universe	Doctor_Strange
Captain_Universe	Eddie_Brock
Captain_Universe	Gladiator_(Kallark)
Captain_Universe	Hulk
Captain_Universe	Jean_Grey
Captain_Universe	Nightmask
Captain_Universe	Quasar_(character)
Captain_Universe	Spider-Man
Captain_Universe	Spider-Man_Noir
Captain_Universe	Star-Lord
Captain_Universe	Starhawk_(character)
Captain_Universe	Venom_(character)
Caretaker_(comics)	Ghost_Rider
Caretaker_(comics)	Ghost_Rider_(Danny_Ketch)
Caretaker_(comics)	Ghost_Rider_(Johnny_Blaze)
Ch'od	Jean_Grey
Ch'od	Ms._Marvel
Ch'od	Rocket_Raccoon
Chase_Stein	Cammi_(character)
Chase_Stein	Darkhawk
Chase_Stein	Speed_(character)
Chase_Stein	Wolverine_(character)
Citizen_V	Cable_(character)
Cloak_and_Dagger_(characters)	Adam_Warlock
Cloak_and_Dagger_(characters)	Alex_Wilder
Cloak_and_Dagger_(characters)	Anole_(character)
Cloak_and_Dagger_(characters)	Anya_Corazon
Cloak_and_Dagger_(characters)	Black_Cat_(Marvel_Comics)
Cloak_and_Dagger_(characters)	Black_Widow_(Natasha_Romanova)
Cloak_and_Dagger_(characters)	Chase_Stein
Cloak_and_Dagger_(characters)	Darkhawk
Cloak_and_Dagger_(characters)	Deathlok
Cloak_and_Dagger_(characters)	Doctor_Nemesis
Cloak_and_Dagger_(characters)	Doctor_Strange
Cloak_and_Dagger_(characters)	Eddie_Brock
Cloak_and_Dagger_(characters)	Emma_Frost
Cloak_and_Dagger_(characters)	Hank_Pym
Cloak_and_Dagger_(characters)	Hulk
Cloak_and_Dagger_(characters)	Hulkling
Cloak_and_Dagger_(characters)	Iron_Fist_(character)
Cloak_and_Dagger_(characters)	Luke_Cage
Cloak_and_Dagger_(characters)	Moon_Knight
Cloak_and_Dagger_(characters)	Morbius
Cloak_and_Dagger_(characters)	Nightwatch_(character)
Cloak_and_Dagger_(characters)	Robbie_Baldwin
Cloak_and_Dagger_(characters)	Shang-Chi
Cloak_and_Dagger_(characters)	Spider-Man
Coldblood	Darkhawk
Coldblood	Deathlok
Crane_Mother	Hulk
Crane_Mother	Iron_Fist_(character)
Crane_Mother	Lei_Kung_(character)
Crippler_(character)	Deathlok
Crippler_(character)	Eddie_Brock
Crippler_(character)	Human_Torch
Crippler_(character)	Stingray_(Marvel_Comics)
Cyclops_(Marvel_Comics)	Betsy_Braddock
Cyclops_(Marvel_Comics)	Cable_(character)
Cyclops_(Marvel_Comics)	Emma_Frost
Cyclops_(Marvel_Comics)	Jean_Grey
Cyclops_(Marvel_Comics)	Phoenix_Force
Cyclops_(Marvel_Comics)	Rachel_Summers
Cyclops_(Marvel_Comics)	Scarlet_Witch
Cyclops_(Marvel_Comics)	Storm_(Marvel_Comics)
Cyclops_(Marvel_Comics)	Vulcan_(Marvel_Comics)
Cyclops_(Marvel_Comics)	Wolverine_(character)
Cyclops_(Marvel_Comics)	Xorn
Dargo_Ktor	Beta_Ray_Bill
Dargo_Ktor	Hercules_(Marvel_Comics)
Darkdevil	Doctor_Strange
Darkdevil	Ghost_Rider
Darkdevil	Mayday_Parker
Darkdevil	Venom_(character)
Darkhawk	Black_Bolt
Darkhawk	Chase_Stein
Darkhawk	Cloak_and_Dagger_(characters)
Darkhawk	Nova_(Richard_Rider)
Darkhawk	Phil_Urich
Darkhawk	Phoenix_Force
Darkhawk	Quasar_(character)
Darkhawk	Ricochet_(comics)
Darkhawk	Spider-Man
Darkhawk	Turbo_(comics)
Darkhawk	Wolverine_(character)
Deadpool	Agent_X_(Marvel_Comics)
Deadpool	Black_Widow_(Natasha_Romanova)
Deadpool	Blade_(character)
Deadpool	Bob,_Agent_of_Hydra
Deadpool	Cable_(character)
Deadpool	Dragon_Lord_(character)
Deadpool	Elsa_Bloodstone
Deadpool	Ghost_Rider
Deadpool	Gwenpool
Deadpool	Hulk
Deadpool	Moon_Knight
Deadpool	Morbius
Deadpool	Nomad_(Marvel_Comics)
Deadpool	Outlaw_(Marvel_Comics)
Deadpool	Rocket_Raccoon
Deadpool	She-Hulk
Deadpool	Spider-Man
Deadpool	Venom_(character)
Deadpool	Wolverine_(character)
Deathlok	Abomination_(character)
Deathlok	Black_Panther_(character)
Deathlok	Iron_Man_2020
Deathlok	Quasar_(character)
Deathlok	Spider-Man
Debrii	Bill_Foster_(character)
Debrii	Gauntlet_(Joseph_Green)
Debrii	She-Hulk
Debrii	Thor_Girl
Debrii	Vance_Astrovik
Delroy_Garrett	Deadpool
Delroy_Garrett	Marvel_Boy_(Robert_Grayson)
Delroy_Garrett	Thor_Girl
Detroit_Steel	War_Machine
Devil_Dinosaur	Deadpool
Devil_Dinosaur	Doctor_Strange
Devil_Dinosaur	Ghost_Rider_(Danny_Ketch)
Devil_Dinosaur	Hank_Pym
Devil_Dinosaur	Hulk
Devil_Dinosaur	Karnak_(character)
Devil_Dinosaur	Paladin_(comics)
Devil_Dinosaur	Spider-Man
Devil_Hulk	Hulk
Devil_Hulk	Venom_(character)
Digitek_(character)	Deathlok
Doctor_Druid	Doctor_Strange
Doctor_Druid	Emma_Frost
Doctor_Druid	Hulk
Doctor_Druid	Man-Thing
Doctor_Nemesis	Bill_Foster_(character)
Doctor_Nemesis	Black_Panther_(character)
Doctor_Nemesis	Cyclops_(Marvel_Comics)
Doctor_Nemesis	Emma_Frost
Doctor_Nemesis	Hank_Pym
Doctor_Nemesis	Human_Torch_(android)
Doctor_Nemesis	Jean_Grey
Doctor_Nemesis	Luke_Cage
Doctor_Nemesis	Spider-Man
Doctor_Spectrum	Black_Panther_(character)
Doctor_Spectrum	Doctor_Strange
Doctor_Spectrum	Hank_Pym
Doctor_Spectrum	Hyperion_(character)
Doctor_Spectrum	Jericho_Drumm
Doctor_Spectrum	Quasar_(character)
Doctor_Strange	Adam_Warlock
Doctor_Strange	Black_Widow_(Natasha_Romanova)
Doctor_Strange	Captain_Universe
Doctor_Strange	Cloak_and_Dagger_(characters)
Doctor_Strange	Deadpool
Doctor_Strange	Gwenpool
Doctor_Strange	Hulk
Doctor_Strange	Human_Torch
Doctor_Strange	Jericho_Drumm
Doctor_Strange	Luke_Cage
Doctor_Strange	Man-Thing
Doctor_Strange	Moon_Knight
Doctor_Strange	Rocket_Raccoon
Doctor_Strange	Scarlet_Witch
Doctor_Strange	Sentry_(Robert_Reynolds)
Doctor_Strange	Spider-Man
Doctor_Strange	Star-Lord
Dogpool	Deadpool
Doom_2099	Black_Panther_(character)
Doom_2099	Cable_(character)
Doom_2099	Cloak_and_Dagger_(characters)
Doom_2099	Deathlok
Doom_2099	Doctor_Strange
Doom_2099	Hulk_2099
Doom_2099	Rachel_Summers
Doom_2099	Ravage_2099
Doom_2099	Wolverine_(character)
Dragon_Lord_(character)	Delroy_Garrett
Dusk_(comics)	Anya_Corazon
Dusk_(comics)	Black_Marvel
Dusk_(comics)	Hornet_(comics)
Dusk_(comics)	Ms._Marvel
Dusk_(comics)	Ricochet_(comics)
Dusk_(comics)	Spider-Man
Eddie_Brock	Anne_Weying
Eddie_Brock	Black_Cat_(Marvel_Comics)
Eddie_Brock	Black_Widow_(Natasha_Romanova)
Eddie_Brock	Cloak_and_Dagger_(characters)
Eddie_Brock	Hybrid_(Scott_Washington)
Eddie_Brock	Iron_Fist_(character)
Eddie_Brock	John_Jameson_(character)
Eddie_Brock	Morbius
Eddie_Brock	Quasar_(character)
Eddie_Brock	Scarlet_Spider
Eddie_Brock	She-Hulk
Eddie_Brock	Silk_(character)
Eddie_Brock	Spider-Man
Eddie_Brock	Spider-Woman
Eddie_Brock	Spider-Woman_(Gwen_Stacy)
Eddie_Brock	Venom_(character)
Elsa_Bloodstone	Blade_(character)
Elsa_Bloodstone	Deadpool
Elsa_Bloodstone	Devil_Dinosaur
Elsa_Bloodstone	Fin_Fang_Foom
Elsa_Bloodstone	Ghost_Rider_(Johnny_Blaze)
Elsa_Bloodstone	Iron_Fist_(character)
Elsa_Bloodstone	Jericho_Drumm
Elsa_Bloodstone	Machine_Man
Elsa_Bloodstone	Man-Thing
Elsa_Bloodstone	Misty_Knight
Elsa_Bloodstone	Ulysses_Bloodstone
Elsa_Bloodstone	Wolverine_(character)
Emma_Frost	Anole_(character)
Emma_Frost	Black_Bolt
Emma_Frost	Cable_(character)
Emma_Frost	Cloak_and_Dagger_(characters)
Emma_Frost	Cyclops_(Marvel_Comics)
Emma_Frost	Empath_(character)
Emma_Frost	Jean_Grey
Emma_Frost	Jessica_Jones
Emma_Frost	Jubilee_(character)
Emma_Frost	Phoenix_Force
Emma_Frost	Rachel_Summers
Emma_Frost	Sentry_(Robert_Reynolds)
Emma_Frost	Shang-Chi
Emma_Frost	Spider-Man
Emma_Frost	Storm_(Marvel_Comics)
Emma_Frost	Wolverine_(character)
Emma_Frost	Xorn
Empath_(character)	Cyclops_(Marvel_Comics)
Empath_(character)	Emma_Frost
Empath_(character)	Hellion_(character)
Emrys_Killebrew	Deadpool
Emrys_Killebrew	Wolverine_(character)
Enigma_(Marvel_Comics)	Spider-Man
Ethan_Edwards	Spider-Man
Fabio_Medina	Cyclops_(Marvel_Comics)
Fabio_Medina	Phoenix_Force
Fabio_Medina	Spider-Man
Fandral	Balder_the_Brave
Fandral	Hulk
Fin_Fang_Foom	Sentry_(Robert_Reynolds)
Fin_Fang_Foom	War_Machine
Firebird_(Marvel_Comics)	Bill_Foster_(character)
Firebird_(Marvel_Comics)	Black_Widow_(Natasha_Romanova)
Firebird_(Marvel_Comics)	Deadpool
Firebird_(Marvel_Comics)	Delroy_Garrett
Firebird_(Marvel_Comics)	Franklin_Richards_(character)
Firebird_(Marvel_Comics)	Hank_Pym
Firebird_(Marvel_Comics)	Hulk
Firebird_(Marvel_Comics)	Mockingbird_(Marvel_Comics)
Firebird_(Marvel_Comics)	Moon_Knight
Firebird_(Marvel_Comics)	Moondragon
Firebird_(Marvel_Comics)	Patsy_Walker
Firebird_(Marvel_Comics)	Scarlet_Spider
Firelord_(character)	Hercules_(Marvel_Comics)
Flatman_(character)	Hercules_(Marvel_Comics)
Flatman_(character)	Living_Lightning
Flatman_(character)	Mockingbird_(Marvel_Comics)
Force_(comics)	Guardsman_(character)
Frankenstein's_Monster_(Marvel_Comics)	Bucky_(Marvel_Comics)
Frankenstein's_Monster_(Marvel_Comics)	Elsa_Bloodstone
Frankenstein's_Monster_(Marvel_Comics)	Ghost_Rider_(Johnny_Blaze)
Frankenstein's_Monster_(Marvel_Comics)	Human_Torch_(android)
Frankenstein's_Monster_(Marvel_Comics)	John_Jameson_(character)
Frankenstein's_Monster_(Marvel_Comics)	Man-Thing
Frankenstein's_Monster_(Marvel_Comics)	She-Hulk
Frankenstein's_Monster_(Marvel_Comics)	Spider-Man
Frankenstein's_Monster_(Marvel_Comics)	Toro_(character)
Frankenstein's_Monster_(Marvel_Comics)	Ulysses_Bloodstone
Frankenstein's_Monster_(Marvel_Comics)	Werewolf_by_Night
Franklin_Richards_(character)	Human_Torch
Franklin_Richards_(character)	Phoenix_Force
Franklin_Richards_(character)	Rachel_Summers
Frog-Man	Gargoyle_(comics)
Frog-Man	Human_Torch
Frog-Man	Jessica_Jones
Frog-Man	Spider-Man
Frog-Man	Steel_Spider
Frog-Man	Thor_Girl
G._W._Bridge	Cable_(character)
G._W._Bridge	Garrison_Kane
Gargoyle_(comics)	Frog-Man
Gargoyle_(comics)	Hulk
Gargoyle_(comics)	Moondragon
Gargoyle_(comics)	Patsy_Walker
Gargoyle_(comics)	War_Machine
Garrison_Kane	Box_(comics)
Garrison_Kane	Cable_(character)
Garrison_Kane	Deadpool
Garrison_Kane	Nomad_(Marvel_Comics)
Garrison_Kane	Rachel_Summers
Garrison_Kane	Wolverine_(character)
Gauntlet_(Joseph_Green)	Hank_Pym
Gauntlet_(Joseph_Green)	Hulk
Gauntlet_(Joseph_Green)	She-Hulk
Genis-Vell	Captain_Marvel_(Marvel_Comics)
Genis-Vell	Hyperion_(character)
Genis-Vell	Phyla-Vell
Ghost_Rider	Ares_(Marvel_Comics)
Ghost_Rider	Black_Panther_(character)
Ghost_Rider	Blade_(character)
Ghost_Rider	Caretaker_(comics)
Ghost_Rider	Deadpool
Ghost_Rider	Doctor_Strange
Ghost_Rider	Firelord_(character)
Ghost_Rider	Ghost_Rider_(Danny_Ketch)
Ghost_Rider	Ghost_Rider_(Johnny_Blaze)
Ghost_Rider	Hulk
Ghost_Rider	Jericho_Drumm
Ghost_Rider	Killraven
Ghost_Rider	Phoenix_Force
Ghost_Rider	Spider-Man
Ghost_Rider	Star_Brand
Ghost_Rider_(Danny_Ketch)	Blade_(character)
Ghost_Rider_(Danny_Ketch)	Ghost_Rider
Ghost_Rider_(Danny_Ketch)	Ghost_Rider_(Johnny_Blaze)
Ghost_Rider_(Danny_Ketch)	Hulk
Ghost_Rider_(Danny_Ketch)	Machine_Man
Ghost_Rider_(Danny_Ketch)	Spider-Man
Ghost_Rider_(Danny_Ketch)	Wolverine_(character)
Ghost_Rider_(Johnny_Blaze)	Caretaker_(comics)
Ghost_Rider_(Johnny_Blaze)	Doctor_Strange
Ghost_Rider_(Johnny_Blaze)	Ghost_Rider
Ghost_Rider_(Johnny_Blaze)	Ghost_Rider_(Danny_Ketch)
Ghost_Rider_(Johnny_Blaze)	Hulk
Ghost_Rider_(Johnny_Blaze)	Satana_(Marvel_Comics)
Ghost_Rider_(Johnny_Blaze)	Spider-Man
Ghost_Rider_(Johnny_Blaze)	Venom_(character)
Gladiator_(Kallark)	Captain_Universe
Gladiator_(Kallark)	Nova_(Richard_Rider)
Gladiator_(Kallark)	Phoenix_Force
Gladiator_(Kallark)	Rom_the_Space_Knight
Gladiator_(Kallark)	Spider-Man
Gladiator_(Kallark)	Vulcan_(Marvel_Comics)
Golem_(Marvel_Comics)	Blue_Bullet
Golem_(Marvel_Comics)	Doctor_Nemesis
Golem_(Marvel_Comics)	Doctor_Strange
Gorgon_(Inhuman)	Black_Bolt
Gremlin_(comics)	Gargoyle_(comics)
Gremlin_(comics)	Hulk
Gremlin_(comics)	Rom_the_Space_Knight
Gremlin_(comics)	Spider-Woman_(Jessica_Drew)
Guardian_(Marvel_Comics)	Puck_(Marvel_Comics)
Guardian_(Marvel_Comics)	Vindicator_(comics)
Guardian_(Marvel_Comics)	Wolverine_(Ultimate_Marvel_character)
Guardian_(Marvel_Comics)	Wolverine_(character)
Guardsman_(character)	Eddie_Brock
Guardsman_(character)	Force_(comics)
Guardsman_(character)	Hybrid_(Scott_Washington)
Guardsman_(character)	Luke_Cage
Guardsman_(character)	Quasar_(character)
Guardsman_(character)	U.S._Agent
Guardsman_(character)	War_Machine
Gwenpool	Abomination_(character)
Gwenpool	Black_Cat_(Marvel_Comics)
Gwenpool	Blade_(character)
Gwenpool	Deadpool
Gwenpool	Deathlok
Gwenpool	Doctor_Strange
Gwenpool	Fin_Fang_Foom
Gwenpool	Hyperion_(character)
Gwenpool	Moon_Knight
